Class,Method,Commit Number,Commit Hash,Code Churn,Lines Added,Lines Deleted,Modified Files,From CBO,To CBO,From LOC,To LOC,From RFC,To RFC,From WMC,To WMC,Methods Invoked Qty,Refactoring Patterns
io.microraft.impl.RaftNodeImpl,demoteToFollowerIfQuorumHeartbeatTimeoutElapsed,200 -> 221,917edc604c329689ec9e247063951e8e728fc9ce -> 8cef993357980797970c0979681e0e78aa1a4732,0,0,0,13,3.0,2.0,13.0,12.0,9.0,7.0,3.0,3.0,9,"microraft/src/main/java/io/microraft/impl/RaftNodeImpl.java: [Extract Method(10), Change Variable Type(4)]"
io.microraft.impl.RaftTest,testNoCommitWhenOnlyLeaderAppends,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,6.0,5.0,17.0,16.0,15.0,14.0,3.0,3.0,15,"microraft/src/test/java/io/microraft/impl/RaftTest.java: [Change Variable Type(44), Change Thrown Exception Type(32), Rename Variable(28), Extract Variable(3), Inline Variable(2), Move Package(1), Move Class(1), Extract Superclass(1)]"
io.microraft.impl.RaftNodeImpl,terminate,219 -> 221,bf415940d4dc9d82bea4e178a019fe42e14bc6b1 -> 8cef993357980797970c0979681e0e78aa1a4732,0,0,0,13,8.0,7.0,43.0,41.0,15.0,12.0,9.0,9.0,14,"microraft/src/main/java/io/microraft/impl/RaftNodeImpl.java: [Change Variable Type(4), Move Method(4), Rename Parameter(2), Change Method Access Modifier(2), Move Attribute(1)]"
io.microraft.impl.LeadershipTransferTest,when_sameLeadershipTransferTriggeredMultipleTimes_then_leadershipTransferSucceeds,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,6.0,6.0,13.0,12.0,10.0,11.0,1.0,1.0,10,"microraft/src/test/java/io/microraft/impl/LeadershipTransferTest.java: [Inline Variable(22), Change Variable Type(8), Move Package(1), Move Class(1), Extract Superclass(1)]"
io.microraft.impl.LocalQueryTest,when_queryFromLeaderWithCommitIndex_onStableCluster_thenReadLatestValue,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,6.0,6.0,13.0,12.0,12.0,12.0,2.0,2.0,12,"microraft/src/test/java/io/microraft/impl/LocalQueryTest.java: [Change Variable Type(16), Rename Method(3), Inline Variable(2), Rename Variable(2), Move Package(1), Move Class(1), Extract Superclass(1)]"
io.microraft.impl.LinearizableQueryTest,when_linearizableQueryIsIssuedToFollower_then_queryFails,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,6.0,6.0,12.0,11.0,10.0,9.0,2.0,2.0,10,"microraft/src/test/java/io/microraft/impl/LinearizableQueryTest.java: [Change Variable Type(26), Extract Variable(12), Rename Variable(4), Remove Variable Modifier(2), Move Package(1), Move Class(1), Rename Method(1), Extract Superclass(1)]"
io.microraft.impl.RaftTest,when_leaderStaysInMajorityDuringSplit_thenItMergesBackSuccessfully,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,5.0,6.0,15.0,14.0,10.0,11.0,2.0,2.0,10,"microraft/src/test/java/io/microraft/impl/RaftTest.java: [Change Variable Type(44), Change Thrown Exception Type(32), Rename Variable(28), Extract Variable(3), Inline Variable(2), Move Package(1), Move Class(1), Extract Superclass(1)]"
io.microraft.impl.RaftTest,testReplicateEntriesConcurrently,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,9.0,8.0,30.0,29.0,24.0,23.0,5.0,5.0,24,"microraft/src/test/java/io/microraft/impl/RaftTest.java: [Change Variable Type(44), Change Thrown Exception Type(32), Rename Variable(28), Extract Variable(3), Inline Variable(2), Move Package(1), Move Class(1), Extract Superclass(1)]"
io.microraft.impl.LeadershipTransferTest,when_thereAreInflightOperationsDuringLeadershipTransfer_then_inflightOperationsAreCommitted,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,0,0,0,28,6.0,6.0,16.0,15.0,11.0,13.0,1.0,1.0,11,"microraft/src/test/java/io/microraft/impl/LeadershipTransferTest.java: [Inline Variable(22), Change Variable Type(8), Move Package(1), Move Class(1), Extract Superclass(1)]"
io.microraft.impl.local.LocalRaftGroup,getNodesExcept,2 -> 35,e5986d0d194c1ec29e4332ea08b4a709a9936a3d -> fa028e3ecbeda596a4ab928d0c662b65e30a78f2,899,558,341,28,2.0,2.0,13.0,8.0,2.0,11.0,4.0,2.0,2,"microraft/src/test/java/io/microraft/impl/local/LocalRaftGroup.java: [Change Variable Type(12), Rename Variable(12), Change Parameter Type(10), Change Return Type(6), Extract Method(4), Rename Method(3), Rename Parameter(2), Move Package(1), Move Class(1), Rename Attribute(1), Change Attribute Type(1)]"
